1836,ENSG00000236015,thioredoxin domain containing 1 (TXNDC1) pseudogene,,,Processed pseudogene
1837,ENSG00000006451,"RAS like proto-oncogene A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9839"" class=""constant"">HGNC:9839</a>]",RALA,P11233,Protein coding
1838,ENSG00000228554,novel transcript,,,LncRNA
1839,ENSG00000188185,"long intergenic non-protein coding RNA 265 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28019"" class=""constant"">HGNC:28019</a>]",LINC00265,,LncRNA
1840,ENSG00000259826,"CDK13 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55407"" class=""constant"">HGNC:55407</a>]",CDK13-DT,,LncRNA
1841,ENSG00000065883,"cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1733"" class=""constant"">HGNC:1733</a>]",CDK13,Q14004,Protein coding
1842,ENSG00000168303,"M-phase specific PLK1 interacting protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16002"" class=""constant"">HGNC:16002</a>]",MPLKIP,Q8TAP9,Protein coding
1843,ENSG00000175600,"succinyl-CoA:glutarate-CoA transferase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16001"" class=""constant"">HGNC:16001</a>]",SUGCT,Q9HAC7,Protein coding
1844,ENSG00000122641,"inhibin subunit beta A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6066"" class=""constant"">HGNC:6066</a>]",INHBA,P08476,Protein coding
1845,ENSG00000224116,"INHBA antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40303"" class=""constant"">HGNC:40303</a>]",INHBA-AS1,,LncRNA
1846,ENSG00000106571,"GLI family zinc finger 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4319"" class=""constant"">HGNC:4319</a>]",GLI3,P10071,Protein coding
1847,ENSG00000261019,novel transcript,,,LncRNA
1848,ENSG00000136197,"chromosome 7 open reading frame 25 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21703"" class=""constant"">HGNC:21703</a>]",C7orf25,Q9BPX7,Protein coding
1849,ENSG00000106588,"proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9531"" class=""constant"">HGNC:9531</a>]",PSMA2,P25787,Protein coding
1850,ENSG00000106591,"mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14035"" class=""constant"">HGNC:14035</a>]",MRPL32,Q9BYC8,Protein coding
1851,ENSG00000232006,novel transcript,,,LncRNA
1852,ENSG00000002746,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22195"" class=""constant"">HGNC:22195</a>]",HECW1,Q76N89,Protein coding
1853,ENSG00000181211,"HECW1 intronic transcript 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41465"" class=""constant"">HGNC:41465</a>]",HECW1-IT1,,LncRNA
1854,ENSG00000228680,novel transcript,,,LncRNA
1855,ENSG00000213717,ribosomal protein L18a (RPL18A) pseudogene,,,Processed pseudogene
1856,ENSG00000231638,"lncRNA upregulator of antiviral response interferon signaling [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40992"" class=""constant"">HGNC:40992</a>]",LUARIS,,LncRNA
1857,ENSG00000164543,"serine/threonine kinase 17a [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11395"" class=""constant"">HGNC:11395</a>]",STK17A,Q9UEE5,Protein coding
1858,ENSG00000106603,"cytochrome c oxidase assembly factor 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21868"" class=""constant"">HGNC:21868</a>]",COA1,Q9GZY4,Protein coding
1859,ENSG00000106605,"biliverdin reductase A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1062"" class=""constant"">HGNC:1062</a>]",BLVRA,P53004,Protein coding
1860,ENSG00000062582,"mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14510"" class=""constant"">HGNC:14510</a>]",MRPS24,Q96EL2,Protein coding
1861,ENSG00000106608,"upregulator of cell proliferation [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30890"" class=""constant"">HGNC:30890</a>]",URGCP,Q8TCY9,Protein coding
1862,ENSG00000237972,"tubulin gamma 1 pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12418"" class=""constant"">HGNC:12418</a>]",TUBG1P,,Processed pseudogene
1863,ENSG00000078967,"ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21647"" class=""constant"">HGNC:21647</a>]",UBE2D4,Q9Y2X8,Protein coding
1864,ENSG00000214783,"RNA polymerase II subunit J4, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28195"" class=""constant"">HGNC:28195</a>]",POLR2J4,,LncRNA
1865,ENSG00000239556,"uroplakin 3B like 3, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55757"" class=""constant"">HGNC:55757</a>]",UPK3BL3P,,Transcribed unprocessed pseudogene
1866,ENSG00000136206,"speedy/RINGO cell cycle regulator family member E1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16408"" class=""constant"">HGNC:16408</a>]",SPDYE1,Q8NFV5,Protein coding
1867,ENSG00000228434,novel transcript,,,LncRNA
1868,ENSG00000228903,"RAS p21 protein activator 4C, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:44185"" class=""constant"">HGNC:44185</a>]",RASA4CP,,Transcribed unprocessed pseudogene
1869,ENSG00000235314,"long intergenic non-protein coding RNA 957 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22332"" class=""constant"">HGNC:22332</a>]",LINC00957,,LncRNA
1870,ENSG00000136279,"drebrin like [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2696"" class=""constant"">HGNC:2696</a>]",DBNL,Q9UJU6,Protein coding
1871,ENSG00000122678,"DNA polymerase mu [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9185"" class=""constant"">HGNC:9185</a>]",POLM,Q9NP87,Protein coding
1872,ENSG00000106624,"AE binding protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:303"" class=""constant"">HGNC:303</a>]",AEBP1,Q8IUX7,Protein coding
1873,ENSG00000106628,"DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9176"" class=""constant"">HGNC:9176</a>]",POLD2,P49005,Protein coding
1874,ENSG00000106633,"glucokinase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4195"" class=""constant"">HGNC:4195</a>]",GCK,P35557,Protein coding
1875,ENSG00000106636,"YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16959"" class=""constant"">HGNC:16959</a>]",YKT6,O15498,Protein coding
1876,ENSG00000058404,"calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1461"" class=""constant"">HGNC:1461</a>]",CAMK2B,Q13554,Protein coding
1877,ENSG00000015676,"NudC domain containing 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22208"" class=""constant"">HGNC:22208</a>]",NUDCD3,Q8IVD9,Protein coding
1878,ENSG00000146677,"ribosomal protein L32 pseudogene 18 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:36301"" class=""constant"">HGNC:36301</a>]",RPL32P18,,Processed pseudogene
1879,ENSG00000015520,"NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7898"" class=""constant"">HGNC:7898</a>]",NPC1L1,Q9UHC9,Protein coding
1880,ENSG00000136271,"DEAD-box helicase 56 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18193"" class=""constant"">HGNC:18193</a>]",DDX56,Q9NY93,Protein coding
1881,ENSG00000158604,"transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22301"" class=""constant"">HGNC:22301</a>]",TMED4,Q7Z7H5,Protein coding
1882,ENSG00000105953,"oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8124"" class=""constant"">HGNC:8124</a>]",OGDH,Q02218,Protein coding
1883,ENSG00000122515,"zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22229"" class=""constant"">HGNC:22229</a>]",ZMIZ2,Q8NF64,Protein coding
1884,ENSG00000196262,"peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9253"" class=""constant"">HGNC:9253</a>]",PPIA,P62937,Protein coding
1885,ENSG00000105968,"H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20664"" class=""constant"">HGNC:20664</a>]",H2AZ2,Q71UI9,Protein coding
1886,ENSG00000146676,"purine rich element binding protein B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9702"" class=""constant"">HGNC:9702</a>]",PURB,Q96QR8,Protein coding
1887,ENSG00000136286,"myosin IG [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13880"" class=""constant"">HGNC:13880</a>]",MYO1G,B0I1T2,Protein coding
1888,ENSG00000232956,"small nucleolar RNA host gene 15 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27797"" class=""constant"">HGNC:27797</a>]",SNHG15,,LncRNA
1889,ENSG00000136280,"CCM2 scaffold protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21708"" class=""constant"">HGNC:21708</a>]",CCM2,Q9BSQ5,Protein coding
1890,ENSG00000136274,"NAC alpha domain containing [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22196"" class=""constant"">HGNC:22196</a>]",NACAD,O15069,Protein coding
1891,ENSG00000136270,"transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17443"" class=""constant"">HGNC:17443</a>]",TBRG4,Q969Z0,Protein coding
1892,ENSG00000206838,"small nucleolar RNA, H/ACA box 5A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32588"" class=""constant"">HGNC:32588</a>]",SNORA5A,,SnoRNA
1893,ENSG00000201772,"small nucleolar RNA, H/ACA box 5C [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32590"" class=""constant"">HGNC:32590</a>]",SNORA5C,,SnoRNA
1894,ENSG00000122679,"receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9845"" class=""constant"">HGNC:9845</a>]",RAMP3,O60896,Protein coding
1895,ENSG00000164742,"adenylate cyclase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:232"" class=""constant"">HGNC:232</a>]",ADCY1,Q08828,Protein coding
1896,ENSG00000214765,"septin 7 pseudogene 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32339"" class=""constant"">HGNC:32339</a>]",SEPTIN7P2,,Transcribed unprocessed pseudogene
1897,ENSG00000146674,"insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5472"" class=""constant"">HGNC:5472</a>]",IGFBP3,P17936,Protein coding
1898,ENSG00000136205,"tensin 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21616"" class=""constant"">HGNC:21616</a>]",TNS3,Q68CZ2,Protein coding
1899,ENSG00000136273,"HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5309"" class=""constant"">HGNC:5309</a>]",HUS1,O60921,Protein coding
1900,ENSG00000146666,"long intergenic non-protein coding RNA 525 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40290"" class=""constant"">HGNC:40290</a>]",LINC00525,,LncRNA
1901,ENSG00000158683,"polycystin 1 like 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18053"" class=""constant"">HGNC:18053</a>]",PKD1L1,Q8TDX9,Protein coding
1902,ENSG00000225507,pseudogene similar to part of TTK protein kinase TTK,,,Processed pseudogene
1903,ENSG00000164746,"chromosome 7 open reading frame 57 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22247"" class=""constant"">HGNC:22247</a>]",C7orf57,Q8NEG2,Protein coding
1904,ENSG00000183696,"uridine phosphorylase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12576"" class=""constant"">HGNC:12576</a>]",UPP1,Q16831,Protein coding
1905,ENSG00000179869,"ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14638"" class=""constant"">HGNC:14638</a>]",ABCA13,Q86UQ4,Protein coding
1906,ENSG00000188730,"von Willebrand factor C domain containing 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30200"" class=""constant"">HGNC:30200</a>]",VWC2,Q2TAL6,Protein coding
1907,ENSG00000042813,"zona pellucida binding protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15662"" class=""constant"">HGNC:15662</a>]",ZPBP,Q9BS86,Protein coding
1908,ENSG00000223893,"G protein nucleolar 2 pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50779"" class=""constant"">HGNC:50779</a>]",GNL2P1,,Processed pseudogene
1909,ENSG00000185811,"IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13176"" class=""constant"">HGNC:13176</a>]",IKZF1,Q13422,Protein coding
1910,ENSG00000132436,"fidgetin like 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13286"" class=""constant"">HGNC:13286</a>]",FIGNL1,Q6PIW4,Protein coding
1911,ENSG00000106070,"growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4564"" class=""constant"">HGNC:4564</a>]",GRB10,Q13322,Protein coding
1912,ENSG00000228204,"novel transcript, antisense to COBL",,,LncRNA
1913,ENSG00000106078,"cordon-bleu WH2 repeat protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22199"" class=""constant"">HGNC:22199</a>]",COBL,O75128,Protein coding
1914,ENSG00000231490,"ribosomal protein L7 like 1 pseudogene 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:39484"" class=""constant"">HGNC:39484</a>]",RPL7L1P2,,Processed pseudogene
1915,ENSG00000231427,"long intergenic non-protein coding RNA 1445 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50771"" class=""constant"">HGNC:50771</a>]",LINC01445,,LncRNA
1916,ENSG00000170419,"V-set and transmembrane domain containing 2A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28499"" class=""constant"">HGNC:28499</a>]",VSTM2A,Q8TAG5,Protein coding
1917,ENSG00000224223,"VSTM2A overlapping transcript 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50770"" class=""constant"">HGNC:50770</a>]",VSTM2A-OT1,,LncRNA
1918,ENSG00000228735,novel transcript,,,LncRNA
1919,ENSG00000132432,"SEC61 translocon subunit gamma [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18277"" class=""constant"">HGNC:18277</a>]",SEC61G,P60059,Protein coding
1920,ENSG00000146648,"epidermal growth factor receptor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3236"" class=""constant"">HGNC:3236</a>]",EGFR,P00533,Protein coding
1921,ENSG00000224057,"EGFR antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40207"" class=""constant"">HGNC:40207</a>]",EGFR-AS1,,LncRNA
1922,ENSG00000132434,"LanC like glutathione S-transferase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6509"" class=""constant"">HGNC:6509</a>]",LANCL2,Q9NS86,Protein coding
1923,ENSG00000154978,"VOPP1 WW domain binding protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:34518"" class=""constant"">HGNC:34518</a>]",VOPP1,Q96AW1,Protein coding
1924,ENSG00000176826,"FKBP prolyl isomerase 9 pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23568"" class=""constant"">HGNC:23568</a>]",FKBP9P1,,Transcribed unprocessed pseudogene
1925,ENSG00000226278,"phosphoserine phosphatase pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9578"" class=""constant"">HGNC:9578</a>]",PSPHP1,,Unprocessed pseudogene
1926,ENSG00000178665,"zinc finger protein 713 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22043"" class=""constant"">HGNC:22043</a>]",ZNF713,Q8N859,Protein coding
1927,ENSG00000146729,"nipsnap homolog 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4179"" class=""constant"">HGNC:4179</a>]",NIPSNAP2,O75323,Protein coding
1928,ENSG00000239789,"mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14047"" class=""constant"">HGNC:14047</a>]",MRPS17,Q9Y2R5,Protein coding
1929,ENSG00000146733,"phosphoserine phosphatase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9577"" class=""constant"">HGNC:9577</a>]",PSPH,P78330,Protein coding
1930,ENSG00000146731,"chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1620"" class=""constant"">HGNC:1620</a>]",CCT6A,P40227,Protein coding
1931,ENSG00000129103,"sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20415"" class=""constant"">HGNC:20415</a>]",SUMF2,Q8NBJ7,Protein coding
1932,ENSG00000164776,"phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8930"" class=""constant"">HGNC:8930</a>]",PHKG1,Q16816,Protein coding
1933,ENSG00000106153,"coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21645"" class=""constant"">HGNC:21645</a>]",CHCHD2,Q9Y6H1,Protein coding
1934,ENSG00000185290,"nuclear protein 2, transcriptional regulator [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:44164"" class=""constant"">HGNC:44164</a>]",NUPR2,A6NF83,Protein coding
1935,ENSG00000237268,pseudogene similar to part of coiled-coil domain containing 144A CCDC144A,,,Transcribed unprocessed pseudogene
1936,ENSG00000261275,novel transcript,,,LncRNA
1937,ENSG00000226581,"long intergenic non-protein coding RNA 2848 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54384"" class=""constant"">HGNC:54384</a>]",LINC02848,,LncRNA
1938,ENSG00000226342,"NMD3 ribosome export adaptor pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22672"" class=""constant"">HGNC:22672</a>]",NMD3P1,,Processed pseudogene
1939,ENSG00000214652,"zinc finger protein 727 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22785"" class=""constant"">HGNC:22785</a>]",ZNF727,A8MUV8,Protein coding
1940,ENSG00000244117,,,,
1941,ENSG00000223558,"tripartite motif containing 60 pseudogene 17 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:38489"" class=""constant"">HGNC:38489</a>]",TRIM60P17,,Processed pseudogene
1942,ENSG00000234444,"zinc finger protein 736 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32467"" class=""constant"">HGNC:32467</a>]",ZNF736,B4DX44,Protein coding
1943,ENSG00000227986,"tripartite motif containing 60 pseudogene 18 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:38490"" class=""constant"">HGNC:38490</a>]",TRIM60P18,,Unprocessed pseudogene
1944,ENSG00000228014,"ZNF680 pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50379"" class=""constant"">HGNC:50379</a>]",ZNF680P1,,Processed pseudogene
1945,ENSG00000228653,"heterogeneous nuclear ribonucleoprotein C pseudogene 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:48818"" class=""constant"">HGNC:48818</a>]",HNRNPCP7,,Processed pseudogene
1946,ENSG00000173041,"zinc finger protein 680 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26897"" class=""constant"">HGNC:26897</a>]",ZNF680,Q8NEM1,Protein coding
1947,ENSG00000223974,"BCL2 interacting protein 3 pseudogene 42 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:49722"" class=""constant"">HGNC:49722</a>]",BNIP3P42,,Processed pseudogene
1948,ENSG00000196247,"zinc finger protein 107 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12887"" class=""constant"">HGNC:12887</a>]",ZNF107,Q9UII5,Protein coding
1949,ENSG00000197008,"zinc finger protein 138 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12922"" class=""constant"">HGNC:12922</a>]",ZNF138,P52744,Protein coding
1950,ENSG00000234338,Endogenous retrovirus group FC1 Env polyprotein (ERVFC1) pseudogene,,,Processed pseudogene
1951,ENSG00000182722,"selenophosphate synthetase 1 pseudogene 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:42161"" class=""constant"">HGNC:42161</a>]",SEPHS1P1,,Processed pseudogene
1952,ENSG00000213640,"eukaryotic translation elongation factor 1 delta pseudogene 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:22598"" class=""constant"">HGNC:22598</a>]",EEF1DP4,,Processed pseudogene
1953,ENSG00000198039,"zinc finger protein 273 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13067"" class=""constant"">HGNC:13067</a>]",ZNF273,Q14593,Protein coding
1954,ENSG00000189316,"novel transcript, antisense to ZNF273",,,LncRNA
1955,ENSG00000223476,"vomeronasal 1 receptor 42 pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:37362"" class=""constant"">HGNC:37362</a>]",VN1R42P,,Processed pseudogene
1956,ENSG00000152926,"zinc finger protein 117 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12897"" class=""constant"">HGNC:12897</a>]",ZNF117,Q03924,Protein coding
